code,label
037H34,RCCA stent(s)
037H35,RCCA stent(s)
037H36,RCCA stent(s)
037H37,RCCA stent(s)
037H3D,RCCA stent(s)
037H3E,RCCA stent(s)
037H3F,RCCA stent(s)
037H3G,RCCA stent(s)
037H44,RCCA stent(s)
037H45,RCCA stent(s)
037H46,RCCA stent(s)
037H47,RCCA stent(s)
037H4D,RCCA stent(s)
037H4E,RCCA stent(s)
037H4F,RCCA stent(s)
037H4G,RCCA stent(s)
037J04,LCCA
037J05,LCCA
037J06,LCCA
037J07,LCCA
037J0D,LCCA
037J0E,LCCA
037J0F,LCCA
037J0G,LCCA
037J34,LCCA
037J35,LCCA
037J36,LCCA
037J37,LCCA
037J3D,LCCA
037J3E,LCCA
037J3F,LCCA
037J3G,LCCA
037J44,LCCA
037J45,LCCA
037J46,LCCA
037J47,LCCA
037J4D,LCCA
037J4E,LCCA
037J4F,LCCA
037J4G,LCCA
037K34,RICA
037K35,RICA
037K36,RICA
037K37,RICA
037K3D,RICA
037K3E,RICA
037K3F,RICA
037K3G,RICA
037K44,RICA
037K45,RICA
037K46,RICA
037K47,RICA
037K4D,RICA
037K4E,RICA
037K4F,RICA
037K4G,RICA
037L34,LICA
037L35,LICA
037L36,LICA
037L37,LICA
037L3D,LICA
037L3E,LICA
037L3F,LICA
037L3G,LICA
037L44,LICA
037L45,LICA
037L46,LICA
037L47,LICA
037L4D,LICA
037L4E,LICA
037L4F,LICA
037L4G,LICA
